hostname,pod_uuid,pod_label,role,qos_class,cpu_pct,cpu_pressure,io_kibs,mem_mib,mem_pressure,mem_util_pct,net_kbps,pgfaults,throttled
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,04fbd389,system,burstable,1.014276,0.000000,,15.100041,0.000000,8.148426,0.047251,0.001031,0.000000
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,49c27a47,system,besteffort,0.126789,0.000000,,4.481797,0.000000,0.000000,0.458871,0.000161,0.000000
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,c240079d,system,besteffort,0.115730,0.000000,,12.187314,0.000000,0.000000,,0.023811,0.000000
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,ccc9f946,system,burstable,0.265153,0.000000,0.000000,14.556469,0.000000,0.000000,,0.040737,0.000000
