kd,test_type,total_softirq_rate_mean,BLOCK_mean,BLOCK_proportion,HI_mean,HI_proportion,NET_RX_mean,NET_RX_proportion,NET_TX_mean,NET_TX_proportion,RCU_mean,RCU_proportion,SCHED_mean,SCHED_proportion,TASKLET_mean,TASKLET_proportion,TIMER_mean,TIMER_proportion,HRTIMER_mean,HRTIMER_proportion
k0s,idle,405.1969452427464,0.6350620555924695,0.001567292308218205,0.0,0.0,104.33783471018826,0.25749906541788287,40.166681706423034,0.09912878707009966,104.9644007530454,0.2590453901131043,108.4463795614618,0.267638689863502,0.1475083054263566,0.0003640410105707657,46.49907815060908,0.11475673421662223,,
k0s,cp_heavy_12client,912.9245652233635,48.48281357985901,0.05310714096952448,0.0,0.0,175.44252573212486,0.19217636638926425,45.37518521329305,0.049703104661436286,359.382284408862,0.39366043822134705,192.68275867270899,0.211060985773305,4.620745213695871,0.005061475383308721,86.93825240281974,0.09523048860181424,,
k0s,dp_redis_density,28141.4991655741,3.9364956177313677,0.00013988222853979787,0.0,0.0,27383.228549220396,0.973055073864675,11.538367297010646,0.0004100125309289029,262.81193964291566,0.009338945949418974,371.0683338697788,0.013185805478469748,0.03939393918918919,1.3998521883077344e-06,108.8625095929566,0.0038683976625569997,0.01357639412248253,4.824332222886948e-07
k3s,idle,222.73891069867986,7.483725762266226,0.033598645781249124,0.0,0.0,22.289468886138614,0.10006993756152333,5.481029636633663,0.024607418701299,71.97323030143014,0.32312823150507,80.28654500550056,0.3604513677186462,0.0,0.0,35.22491110671067,0.15814439873221237,0.0,0.0
k3s,cp_heavy_12client,762.1514606639395,53.85632399222222,0.07066354494066823,0.0,0.0,110.78796086060606,0.14536213151660748,10.124715474343436,0.013284387680007077,336.1957738949495,0.44111412395913596,167.9102141777778,0.22031082120016504,2.971313136767677,0.003898586160524119,80.30515912727272,0.10536640454289203,0.0,0.0
k3s,dp_redis_density,22629.1694300698,9.790358846641945,0.00043264331361770827,0.0,0.0,21950.90148831051,0.9700268300232883,6.270965062669963,0.0002771186579361176,226.01469604202723,0.009987759238821082,327.6325991231974,0.014478330728649584,0.003625875525339926,1.6023016383985515e-07,108.5556968092295,0.004797157807523414,0.0,0.0
k8s,idle,260.5610818403973,0.26386569337748345,0.0010126826750708317,0.0,0.0,21.198113520750553,0.08135563980247491,5.282959946357615,0.020275322427443756,97.31899974613687,0.37349783420744365,97.48197264679912,0.3741233032894383,0.0011037527593818985,4.23606147006246e-06,39.01406653421633,0.14973098153665865,0.0,0.0
k8s,cp_heavy_12client,624.5727339762763,51.060944583083085,0.08175340005319955,0.0,0.0,59.56054890970971,0.09536207021162095,10.759048973973973,0.017226254667695187,271.1592010970971,0.43415151886440945,157.95402624024024,0.2528993304505028,3.1725725805805807,0.005079588665971268,70.90639159159159,0.11352783708660086,0.0,0.0
k8s,dp_redis_density,26783.196846617142,3.7226073270704574,0.00013899040313929673,0.0,0.0,26080.342425787392,0.9737576352496351,6.622860752575196,0.00024727670824745845,243.74018635022662,0.009100488927669301,350.9487187581376,0.013103317007598526,0.01013597049855789,3.784451332156085e-07,97.80760429583847,0.003651827108465287,0.0023073754017305316,8.615011176389741e-08
kubeEdge,idle,292.91155143844446,11.544172687,0.039411804110518374,0.0,0.0,29.562431652555553,0.10092613796683302,7.03977767,0.024033800085482167,91.92541312666667,0.3138333489247345,105.36754573333333,0.35972478796376994,0.00977777777777778,3.3381332111214416e-05,47.462432791111105,0.16203673961655063,0.0,0.0
kubeEdge,cp_heavy_12client,725.1408637846023,86.10154038110547,0.11873767523144481,0.0,0.0,54.17192451974055,0.07470538101660744,8.660711186520022,0.011943487974624226,264.6920454664411,0.36502155468798114,226.4954989576988,0.3123468973677611,1.8964467000564016,0.002615280416219554,83.12269657304005,0.11462972330536185,0.0,0.0
kubeEdge,dp_redis_density,20975.560219287847,14.763856485380115,0.0007038599365658026,0.0,0.0,20254.807717564578,0.9656384623729616,6.572619181370092,0.000313346538192878,264.3028166599833,0.012600512877694038,318.9486819314954,0.01520572888624017,0.015622389348370928,7.447900883241025e-07,116.13988251963241,0.005536914452126874,0.009022556056808687,4.3014613018593396e-07
openYurt,idle,353.5011711882222,3.3283425303333334,0.009415364931170631,0.0,0.0,32.90902364411111,0.09309452507185231,6.6417778445555555,0.018788559659450553,131.48666286444444,0.3719553811447889,127.01206498444444,0.3592974375658198,1.0365747292222223,0.0029323091794519023,51.08672459111111,0.144516422447466,0.0,0.0
openYurt,cp_heavy_12client,914.2218926914553,70.11857775023475,0.07669754827660791,0.0,0.0,112.62680186882629,0.12319416409648068,10.188797991455399,0.011144775762763385,387.595445055399,0.4239621126489587,228.34473454272302,0.24976948853246075,4.396431941032864,0.004808933122449994,100.95110354178404,0.11042297756027863,0.0,0.0
openYurt,dp_redis_density,24842.726553341694,3.8625499640184953,0.0001554801142992466,0.0,0.0,24071.54600466616,0.9689574915611749,7.717821695586381,0.0003106672562294989,289.45410510130307,0.011651462832785052,347.14749713829343,0.013973808244956802,0.8888608637662885,3.577952129601186e-05,122.10971391256831,0.00491531046925857,0.0,0.0
