kd,test_type,run,irq_rate,irq_cpu_overhead_pct,softirq_rate,softirq_cpu_overhead_pct,total_cpu_overhead_pct
k0s,idle,run1,1186.2675808994536,0.08897006856745902,417.05284254972673,0.031278963191229504,0.12024903175868853
k0s,idle,run2,1166.7656116988887,0.08750742087741666,412.62198476555557,0.03094664885741667,0.11845406973483333
k0s,idle,run3,1177.935077937778,0.08834513084533335,397.1659798900001,0.02978744849175001,0.11813257933708336
k0s,idle,run4,1181.743635993889,0.08863077269954169,412.7259492483333,0.030954446193624998,0.11958521889316669
k0s,idle,run5,1167.419780957778,0.08755648357183334,386.2203714716667,0.028966527860375003,0.11652301143220833
k0s,cp_heavy_12client,run1,3320.413133083084,0.2490309849812313,906.3524087223881,0.0679764306541791,0.3170074156354104
k0s,cp_heavy_12client,run2,3327.231697422051,0.24954237730665385,921.5870848343588,0.06911903136257692,0.31866140866923076
k0s,cp_heavy_12client,run3,3308.7402590044776,0.2481555194253358,899.9137538358209,0.06749353153768657,0.31564905096302237
k0s,cp_heavy_12client,run4,3325.9394122853537,0.24944545592140155,901.232505679293,0.06759243792594698,0.31703789384734854
k0s,cp_heavy_12client,run5,3361.7254144479803,0.2521294060835985,935.9650349767676,0.07019737762325756,0.3223267837068561
k0s,dp_redis_density,run1,2396.1548836661077,0.17971161627495807,25917.383109381008,1.9438037332035756,2.1235153494785335
k0s,dp_redis_density,run2,2075.530717339413,0.155664803800456,28734.604079463526,2.1550953059597644,2.3107601097602206
k0s,dp_redis_density,run3,2074.0810433526212,0.1555560782514466,28701.654639376306,2.1526240979532227,2.308180176204669
k0s,dp_redis_density,run4,2088.034243899162,0.15660256829243716,28732.094235716562,2.1549070676787423,2.3115096359711793
k0s,dp_redis_density,run5,2073.9672151029536,0.15554754113272154,28906.33280819282,2.1679749606144614,2.323522501747183
k3s,idle,run1,977.20364987,0.07329027374025,215.57728808055558,0.016168296606041667,0.08945857034629168
k3s,idle,run2,982.0952656194444,0.07365714492145833,218.76773802611115,0.016407580351958335,0.09006472527341666
k3s,idle,run3,997.3427152606557,0.07480070364454917,223.52246464972677,0.016764184848729508,0.09156488849327868
k3s,idle,run4,1021.8593071273224,0.07663944803454918,230.67013617103828,0.01730026021282787,0.09393970824737705
k3s,idle,run5,988.6478448191258,0.07414858836143444,224.97442172513666,0.01687308162938525,0.09102166999081969
k3s,cp_heavy_12client,run1,3085.9916879905472,0.23144937659929105,745.7470717079602,0.05593103037809701,0.28738040697738804
k3s,cp_heavy_12client,run2,3186.015619221538,0.23895117144161537,774.9007170123077,0.05811755377592308,0.29706872521753847
k3s,cp_heavy_12client,run3,3144.201462769192,0.2358151097076894,765.6608616025253,0.0574245646201894,0.2932396743278788
k3s,cp_heavy_12client,run4,3193.030290101515,0.23947727175761363,773.1756648949495,0.05798817486712121,0.29746544662473484
k3s,cp_heavy_12client,run5,3148.8067581863643,0.23616050686397733,751.714710000505,0.05637860325003787,0.2925391101140152
k3s,dp_redis_density,run1,2422.6646643231215,0.18169984982423412,21403.0202778553,1.6052265208391474,1.7869263706633816
k3s,dp_redis_density,run2,2063.0071587528305,0.1547255369064623,22969.144162672957,1.722685812200472,1.8774113491069344
k3s,dp_redis_density,run3,2080.1847381949688,0.15601385536462267,22936.477183419705,1.720235788756478,1.8762496441211007
k3s,dp_redis_density,run4,2078.7264690805027,0.15590448518103772,22964.85740707589,1.7223643055306919,1.8782687907117297
k3s,dp_redis_density,run5,2092.867406418449,0.15696505548138368,22980.310937759117,1.723523320331934,1.8804883758133177
k8s,idle,run1,939.0020565934427,0.07042515424450821,256.69179122349726,0.019251884341762296,0.0896770385862705
k8s,idle,run2,942.0433970805555,0.07065325478104166,265.5521898277778,0.019916414237083336,0.09056966901812499
k8s,idle,run3,937.024922421111,0.07027686918158332,260.3765504372222,0.019528241282791663,0.08980511046437499
k8s,idle,run4,937.7336043934428,0.0703300203295082,257.9213217054645,0.01934409912790984,0.08967411945741804
k8s,idle,run5,929.7037084933332,0.06972777813699998,262.37204018722224,0.019677903014041667,0.08940568115104165
k8s,cp_heavy_12client,run1,2685.482192689899,0.2014111644517424,641.2088124833333,0.04809066093625,0.2495018253879924
k8s,cp_heavy_12client,run2,2677.309649132323,0.20079822368492423,625.3248415959596,0.046899363119696974,0.2476975868046212
k8s,cp_heavy_12client,run3,2615.9405450872555,0.19619554088154417,610.1273307460784,0.04575954980595589,0.24195509068750007
k8s,cp_heavy_12client,run4,2679.009468459091,0.20092571013443183,624.8842655474748,0.04686631991606061,0.24779203005049244
k8s,cp_heavy_12client,run5,2658.791752463682,0.19940938143477613,621.7981974328359,0.04663486480746269,0.2460442462422388
k8s,dp_redis_density,run1,2010.6634049766283,0.1507997553732471,18165.36730064655,1.3624025475484913,1.5132023029217385
k8s,dp_redis_density,run2,1948.1398337880503,0.14611048753410377,29183.95724490419,2.188796793367814,2.334907280901918
