kd,idle_power_w_mean,idle_power_w_std,idle_freq_mhz_mean,cp_power_w_mean,cp_power_w_std,cp_energy_j_mean,cp_duration_s_mean,cp_freq_mhz_mean,energy_per_pod_j,cp_overhead_w,dp_power_w_mean,dp_power_w_std,dp_freq_mhz_mean,energy_per_op_mj
k0s,3.430120809480409,0.008811457172466139,700.684145902547,3.826071476459823,0.46615789418611,1262.7998351264196,330,905.5245532059315,10.52333195938683,0.39595066697941395,,,,
k3s,3.39382799252771,0.014476354496483795,674.3266971533516,3.714985336177956,0.4647007343771393,1233.4195592984706,332,839.5504974455612,10.278496327487256,0.32115734365024595,4.8640746449582135,0.7212395730066371,1329.3692832307693,0.2817828165998521
k8s,3.3969511270699573,0.009898760714099264,676.6619218232045,3.61753871997082,0.38205359366949326,1221.9974048824697,338,787.5779316167292,10.183311707353914,0.22058759290086272,4.767069406437565,0.7035727970373824,1287.968661965377,0.2490715830951155
kubeEdge,3.4440573341159517,0.010272641905638428,708.7817418981481,3.694427575222992,0.24117789679134874,2469.2680241968774,669,836.8905277131784,20.577233534973978,0.2503702411070403,4.747815734597356,0.7081667995530638,1284.816753534168,0.9923459935142328
openYurt,3.4297555406178075,0.006933880945471655,698.2952953125001,3.745699026354049,0.39872927714875456,1398.0618423936537,374,849.5181023474179,11.650515353280447,0.3159434857362413,4.849535855319013,0.7663188474544423,1315.7421394432772,0.2666793687673912
